entity,x,y
http://www.wikidata.org/entity/Q1355832,62.49323,-99.40955
http://www.wikidata.org/entity/Q8108,6.950751,-114.34992
http://www.wikidata.org/entity/Q1962831,-135.18224,-37.934486
http://www.wikidata.org/entity/Q204642,-108.35557,60.93635
http://www.wikidata.org/entity/Q49773,-29.676105,-25.937168
http://www.wikidata.org/entity/Q1261157,-40.59324,47.647602
http://www.wikidata.org/entity/Q189671,23.965715,-123.54171
http://www.wikidata.org/entity/Q2817287,-27.960281,51.054333
http://www.wikidata.org/entity/Q35491,-28.688347,-132.57945
http://www.wikidata.org/entity/Q552751,54.832134,32.901207
http://www.wikidata.org/entity/Q1616240,60.56596,-36.433014
http://www.wikidata.org/entity/Q2418495,-39.99044,-29.2776
http://www.wikidata.org/entity/Q13235,19.233578,-111.025734
http://www.wikidata.org/entity/Q2745692,18.190453,-4.3735423
http://www.wikidata.org/entity/Q12953845,-8.538606,-116.06527
http://www.wikidata.org/entity/Q1016820,-144.9181,69.75466
http://www.wikidata.org/entity/Q56597998,-77.93584,112.516556
http://www.wikidata.org/entity/Q13292,131.48024,13.591725
http://www.wikidata.org/entity/Q5282019,-1.324573,-26.86008
http://www.wikidata.org/entity/Q5255986,-18.917015,4.6869907
http://www.wikidata.org/entity/Q66793577,28.252687,-10.079708
http://www.wikidata.org/entity/Q408348,-16.63275,-40.436993
http://www.wikidata.org/entity/Q6482736,-175.4625,-19.252447
http://www.wikidata.org/entity/Q386093,-70.65777,-91.04157
http://www.wikidata.org/entity/Q1392475,65.56882,-61.586227
http://www.wikidata.org/entity/Q234738,70.13281,-122.93104
http://www.wikidata.org/entity/Q52258994,-22.77676,28.548086
http://www.wikidata.org/entity/Q1769221,-63.021534,6.9702034
http://www.wikidata.org/entity/Q11725,23.567001,143.67258
http://www.wikidata.org/entity/Q33290,-3.2272108,-89.13567
http://www.wikidata.org/entity/Q3037555,64.3477,84.96027
http://www.wikidata.org/entity/Q42403763,65.97428,41.62021
http://www.wikidata.org/entity/Q105715717,-11.852334,18.05002
http://www.wikidata.org/entity/Q15913,-144.9181,69.75466
http://www.wikidata.org/entity/Q5256056,33.827606,16.999886
http://www.wikidata.org/entity/Q201112,-1.8945718,26.77883
http://www.wikidata.org/entity/Q152814,11.421414,52.92743
http://www.wikidata.org/entity/Q5333469,-8.582525,69.475296
http://www.wikidata.org/entity/Q42653,-39.363018,36.01989
http://www.wikidata.org/entity/Q110628558,-0.84822524,-9.2264185
http://www.wikidata.org/entity/Q35175,-116.34024,-119.98661
http://example.org/tennis/player/Fred_Perry,-127.86971,35.915424
http://www.wikidata.org/entity/Q3346231,-156.8008,-81.773705
