model,embedding_dim,learning_rate,batch_size,epochs,MRR,Hits@1,Hits@3,Hits@10,dataset_size,train_triples,valid_triples,test_triples
TransE,48,0.01,256,20,0.06089705228805542,0.022199798183652877,0.05095862764883956,0.124117053481332,20k,18031,978,991
DistMult,48,0.01,256,20,0.1000925749540329,0.04843592330978809,0.10544904137235116,0.1846619576185671,20k,18031,978,991
TransE,48,0.01,256,20,0.05370154231786728,0.01755001755001755,0.04703404703404703,0.11214461214461215,50k,44393,2758,2849
DistMult,48,0.01,256,20,0.12503476440906525,0.06546156546156547,0.1303966303966304,0.22744822744822746,50k,44393,2758,2849
TransE,48,0.01,256,20,0.06424631178379059,0.023618538324420676,0.059269162210338684,0.13443256090314915,full,52421,3369,3366
DistMult,48,0.01,256,20,0.13568150997161865,0.07397504456327986,0.13874034462269758,0.255050505050505,full,52421,3369,3366
